Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
MP9,Storm,Consumer Grade,Overpass Collection,,,,,,2014.0
Desert Eagle,Urban DDPAT,Industrial Grade,Overpass Collection,,,,,,2014.0
MP7,Gunsmoke,Industrial Grade,Overpass Collection,,,,,,2014.0
Glock-18,Night,Industrial Grade,Overpass Collection,,,,,,2014.0
P2000,Grassland,Industrial Grade,Overpass Collection,,,,,,2014.0
CZ75-Auto,Nitro,Mil-Spec,Overpass Collection,,,,,,2014.0
SSG 08,Detour,Mil-Spec,Overpass Collection,,,,,,2014.0
XM1014,VariCamo Blue,Mil-Spec,Overpass Collection,,,,,,2014.0
AWP,Pink DDPAT,Restricted,Overpass Collection,,,,,,2014.0
USP-S,Road Rash,Restricted,Overpass Collection,,,,,,2014.0
M4A1-S,Master Piece,Classified,Overpass Collection,,,,,,2014.0
Dual Berettas,Contractor,Consumer Grade,Safehouse Collection,,,,,,2013.0
MP7,Army Recon,Consumer Grade,Safehouse Collection,,,,,,2013.0
Tec-9,Army Mesh,Consumer Grade,Safehouse Collection,,,,,,2013.0
SSG 08,Blue Spruce,Consumer Grade,Safehouse Collection,,,,,,2013.0
SCAR-20,Contractor,Consumer Grade,Safehouse Collection,,,,,,2013.0
MP9,Orange Peel,Industrial Grade,Safehouse Collection,,,,,,2013.0
AUG,Condemned,Industrial Grade,Safehouse Collection,,,,,,2013.0
USP-S,Forest Leaves,Industrial Grade,Safehouse Collection,,,,,,2013.0
Galil AR,VariCamo,Industrial Grade,Safehouse Collection,,,,,,2013.0
M249,Gator Mesh,Industrial Grade,Safehouse Collection,,,,,,2013.0
G3SG1,VariCamo,Industrial Grade,Safehouse Collection,,,,,,2013.0
FAMAS,Teardown,Mil-Spec,Safehouse Collection,,,,,,2013.0
Five-SeveN,Silver Quartz,Mil-Spec,Safehouse Collection,,,,,,2013.0
SSG 08,Acid Fade,Mil-Spec,Safehouse Collection,,,,,,2013.0
M4A1-S,Nitro,Restricted,Safehouse Collection,,,,,,2013.0
M249,Jungle,Consumer Grade,St. Marc Collection,,,,,,2019.0
MP5-SD,Bamboo Garden,Consumer Grade,St. Marc Collection,,,,,,2019.0
MAC-10,Surfwood,Consumer Grade,St. Marc Collection,,,,,,2019.0
PP-Bizon,Seabird,Consumer Grade,St. Marc Collection,,,,,,2019.0
Sawed-Off,Jungle Thicket,Consumer Grade,St. Marc Collection,,,,,,2019.0
M4A4,Dark Blossom,Industrial Grade,St. Marc Collection,,,,,,2019.0
P90,Sunset Lily,Industrial Grade,St. Marc Collection,,,,,,2019.0
Tec-9,Rust Leaf,Industrial Grade,St. Marc Collection,,,,,,2019.0
XM1014,Banana Leaf,Industrial Grade,St. Marc Collection,,,,,,2019.0
MP7,Teal Blossom,Mil-Spec,St. Marc Collection,,,,,,2019.0
