Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
P250,Gunsmoke,Industrial Grade,Inferno Collection,$36.41 USD,$4.46 USD,$2.83 USD,$2.60 USD,$2.58 USD,2013
M4A4,Tornado,Industrial Grade,Inferno Collection,$143.00 USD,$16.43 USD,$3.30 USD,$3.13 USD,$3.57 USD,2013
Dual Berettas,Anodized Navy,Mil-Spec,Inferno Collection,$2.21 USD,$12.60 USD,,,,2013
Tec-9,Brass,Mil-Spec,Inferno Collection,$69.54 USD,$13.75 USD,$4.46 USD,$2.77 USD,$2.69 USD,2013
PP-Bizon,Sand Dashed,Consumer Grade,Italy Collection,$0.08 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
Nova,Sand Dune,Consumer Grade,Italy Collection,$0.08 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
FAMAS,Colony,Consumer Grade,Italy Collection,$0.23 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
AUG,Contractor,Consumer Grade,Italy Collection,$0.09 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
Tec-9,Groundwater,Consumer Grade,Italy Collection,$0.12 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
Nova,Candy Apple,Industrial Grade,Italy Collection,,,,,,2013
Dual Berettas,Stained,Industrial Grade,Italy Collection,,,,,,2013
P2000,Granite Marbleized,Industrial Grade,Italy Collection,,,,,,2013
UMP-45,Gunsmoke,Industrial Grade,Italy Collection,$0.22 USD,$0.07 USD,$0.05 USD,$0.05 USD,$0.05 USD,2013
M4A1-S,Boreal Forest,Industrial Grade,Italy Collection,$2.75 USD,$0.16 USD,$0.06 USD,$0.06 USD,$0.05 USD,2013
XM1014,CaliCamo,Industrial Grade,Italy Collection,$16.00 USD,$10.62 USD,$10.46 USD,$12.57 USD,$11.93 USD,2013
MP7,Anodized Navy,Mil-Spec,Italy Collection,$0.66 USD,$0.52 USD,,,,2013
Glock-18,Candy Apple,Mil-Spec,Italy Collection,$0.94 USD,$0.44 USD,$0.39 USD,,,2013
